SKU,ItemTitle,ItemDescription,ItemBulletPoint,ItemDescription_2,Manufacturer,MfrPartNum,SellUOM,ItemPrice,ItemFactTag,Segment,Segment Name,Category,Category Name,Class,Class Name,Sub-Class,Sub-Class Name
29953,,Get a daily dose of your team all year round,<ul><li>Each page features full-color action shots of your favorite athletes.</li> <li>Scaled-down size is perfect for your dorm room or office cubicle. Measures 14” tall when opened.</li> <li>Finish off 2015 with this exclusive design! Includes 4 bonus months — September to December 2015.</li></ul>,,PERFECT TIMING INC,21998040566,EA,10,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30279,"Willow Creek Press Inspirational Monthly Wall Calendar, 12"" x 12"", Life's A Beach, January To December 2022","12 high-quality, full-color images make these Wall Calendars the best around.","<ul><li>1 page per month. Grids provide ample space to write important information.</li> <li>12 months: January to December. Holidays, observances and moon phases are marked.</li> <li>Made with high-quality paper.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Protective shrinkwrap</li> <li>Beautiful inspirational design.</li></ul>",,WILLOW CREEK PRESS,18460,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31843,"TF Publishing Inspirational Wall Calendar, 12"" x 12"", Bloom, January To December 2022","Brighten up your work space with the TF Publishing Inspirational Wall Calendar. Spacious monthly spreads give you plenty of room to jot down appointments, events and reminders while unique illustrations add style to your desk.",<ul><li>1 page per month.</li> <li>Spreads include spacious daily blocks for flexible scheduling.</li> <li>Special pages include a bonus 4-month preview of the upcoming year.</li> <li>12 months: January to December.</li> <li>Pages are securely saddle-stitched.</li></ul>,,"THE TIME FACTORY, INC.",22-1144,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31509,,,<ul></ul>,,PERFECT TIMING INC,21998011848,EA,18.33,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30380,"Willow Creek Press Scenic Monthly Wall Calendar, 12"" x 12"", National Parks Of The West, January To December 2022","12 high-quality, full-color images make these Wall Calendars the best around.","<ul><li>1 page per month. Grids provide ample space to write important information.</li> <li>12 months: January to December. Holidays, observances and moon phases are marked.</li> <li>Made with high-quality paper.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Protective shrinkwrap</li> <li>Wrapped in protective shrink wrap.</li></ul>",,WILLOW CREEK PRESS,18996,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30153,"Mead® Someecards Office Monthly Wall Calendar, 12” x 12"", January To December 2020, ODW14628",Delight in the iconic Someecards brand every day of the year. This wall calendar features comical full-color images highlighting hilarious office-related humor.,<ul><li>1 page per month. Features a reference calendar for easy planning.</li> <li>Unruled daily blocks allow for customized schedules.</li> <li>12 months: January to December. Also includes a page with 4 additional calendar grids from September to December from the previous year.</li> <li>Pages are stapled together and boast a glossy finish that's suitable for pen and pencil notes.</li></ul>,,"ACCO BRANDS USA, LLC",ODW1462820,EA,0.01,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32246,"Willow Creek Press Monthly Mini Wall Calendar, 7"" x 7"", Catastrophe, January To December 2022","Personalize your work space and stay on top of your schedule with help from the Willow Creek Press Monthly Mini Wall Calendar. Spacious monthly spreads include large daily blocks for planning and a dedicated notes section to include reminders, to-do's and","<ul><li>2 pages per month.</li> <li>Spreads include large daily blocks, international holidays, a notes section and moon phases.</li> <li>12 months: January to December.</li> <li>Made from 100-lb paper stock.</li> <li>Pages are securely stapled.</li> <li>Wrapped in protective shrink wrap.</li></ul>",,WILLOW CREEK PRESS,20784,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31188,"TF Publishing Monthly Wall Calendar, 12"" x 12"", Space Cats, January To December 2021","Keep track of your appointments, reminders and deadlines with this TF Publishing Monthly Wall Calendar. The calendar offers ample space on each calendar grid to accommodate plenty of notes.",<ul><li>1 page per month.</li> <li>12 months: January to December.</li> <li>Pages are saddle stitched together.</li> <li>Features 13 full-color images.</li> <li>Includes a 4-month view of January to April 2022.</li> <li>Calendar is printed on premium gloss paper.</li></ul>,,"THE TIME FACTORY, INC.",21-1116,EA,13.65,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31046,"Willow Creek Press Animal Monthly Wall Calendar, 12"" x 12"", Doug The Pug, January To December 2021","Personalize your space and stay on top of upcoming events with the Willow Creek Press Animal Monthly Wall Calendar. Each month features an attractive scenic photo and gives you plenty of space to jot down appointments, due dates and so much more.","<ul><li>2 pages per month.</li> <li>Monthly spreads include a notes section, international holidays and moon phases.</li> <li>12 months: January to December.</li> <li>Made from high-quality, glossy 100 lb paper stock for crisp photo reproduction and a flat hang.</li> <li>Pages are securely stapled.</li> <li>Protective shrink wrap helps to maintain the condition of the product.</li> <li>Bonus 6-Month Mini Grid</li> <li>Room For Notes And Appointments</li> <li>Moon Phases</li> <li>Protective Shrinkwrap</li></ul>",,WILLOW CREEK PRESS,O11584,EA,1.5,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30723,"Willow Creek Press Animals Monthly Wall Calendar, 12"" x 12"", Just Black Cats, January to December 2022, 16954","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Full-color photos of adorable black cats on each spread.</li></ul>",,WILLOW CREEK PRESS,16954,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
